"","X","taxon","EOO.Area.km2","EOO.Status","AOO","AOO.adjusted.Minimum","AOO.Status"
"79",1,"Castanea dentata",2047670.18826166,"Least Concern (LC)",39500,39100,"Least Concern (LC)"
"80",1,"Castanea ozarkensis",162208.250458305,"Least Concern (LC)",3600,3300,"Possible Near Threatened (NT)"
"81",1,"Castanea pumila",1868194.26682861,"Least Concern (LC)",34100,33100,"Least Concern (LC)"
"82",1,"Comarum palustre",13709262.7939123,"Least Concern (LC)",64900,63800,"Least Concern (LC)"
"83",1,"Corylus americana",4427990.47649337,"Least Concern (LC)",75800,73500,"Least Concern (LC)"
"84",1,"Corylus californica",769553.686358841,"Least Concern (LC)",26300,25500,"Least Concern (LC)"
"85",1,"Corylus cornuta",9485115.04493367,"Least Concern (LC)",50900,49800,"Least Concern (LC)"
"86",1,"Cucurbita digitata",499936.988398277,"Least Concern (LC)",12500,12200,"Least Concern (LC)"
"87",1,"Cucurbita foetidissima",4504625.29415701,"Least Concern (LC)",79700,78300,"Least Concern (LC)"
"88",1,"Cucurbita okeechobeensis subsp. okeechobeensis",282.73219720497,"Endangered (EN)",400,300,"Endangered (EN)"
"89",1,"Cucurbita palmata",565162.712784637,"Least Concern (LC)",26500,25000,"Least Concern (LC)"
"90",1,"Cucurbita pepo subsp. ovifera var. ozarkana",253670.18288113,"Least Concern (LC)",4700,4600,"Least Concern (LC)"
"91",1,"Cucurbita pepo subsp. ovifera var. texana",106818.58002741,"Least Concern (LC)",2000,2000,"Possible Near Threatened (NT)"
"92",1,"Dasiphora fruticosa",9959072.91238908,"Least Concern (LC)",110800,109600,"Least Concern (LC)"
"93",1,"Daucus pusillus",5699540.24420217,"Least Concern (LC)",91700,88800,"Least Concern (LC)"
"94",1,"Dioscorea villosa",5169385.75173684,"Least Concern (LC)",80400,78000,"Least Concern (LC)"
"95",1,"Diospyros texana",348501.039848823,"Least Concern (LC)",13800,12700,"Least Concern (LC)"
"96",1,"Diospyros virginiana",2999502.2125129,"Least Concern (LC)",63300,61800,"Least Concern (LC)"
